,chrom,gene_id,openness_score,openness_gene,openness_promoter,avg_pValue,A_g_max,A_g_sum
0,chr3R,FBgn0267431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,chr3R,FBgn0085804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,chr3R,FBgn0039987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,chr3R,FBgn0267798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,chr3R,FBgn0267797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,chr3R,FBgn0058182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,chr3R,FBgn0267430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,chr3R,FBgn0266747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,chr3R,FBgn0266747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,chr3R,FBgn0086917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,chr3R,FBgn0010247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,chr3R,FBgn0086378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,chr3R,FBgn0267816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,chr3R,FBgn0263977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,chr3R,FBgn0263977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,chr3R,FBgn0069923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,chr3R,FBgn0039955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,chr3R,FBgn0039955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,chr3R,FBgn0039955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,chr3R,FBgn0039955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,chr3R,FBgn0259821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,chr3R,FBgn0259821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,chr3R,FBgn0259821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,chr3R,FBgn0027341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,chr3R,FBgn0027341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,chr3R,FBgn0027341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,chr3R,FBgn0027341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,chr3R,FBgn0027341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,chr3R,FBgn0027341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,chr3R,FBgn0027341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,chr3R,FBgn0027341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,chr3R,FBgn0027341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,chr3R,FBgn0085812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,chr3R,FBgn0058198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,chr3R,FBgn0058198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,chr3R,FBgn0286937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,chr3R,FBgn0037213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,chr3R,FBgn0037213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,chr3R,FBgn0053294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,chr3R,FBgn0053294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,chr3R,FBgn0000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,chr3R,FBgn0037215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,chr3R,FBgn0037215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43,chr3R,FBgn0037215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44,chr3R,FBgn0037215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
45,chr3R,FBgn0037215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,chr3R,FBgn0037217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,chr3R,FBgn0037217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
