,chromosome,start,stop,gene,score,strand,thickStart,thickEnd,gene_id
0,chr2L,7456,7516,CG11023_1,900,+,7505,7516,CG11023
1,chr2L,18617,18677,l(2)gl_1,900,-,18617,18628,l(2)gl
2,chr2L,25167,25227,Ir21a_1,900,-,25167,25178,Ir21a
3,chr2L,59231,59291,Cda5_1,900,-,59231,59242,Cda5
10,chr2L,76313,76373,CG11374_1,900,+,76362,76373,CG11374
11,chr2L,87371,87431,net_1,900,-,87371,87382,net
12,chr2L,94692,94752,Zir_1,900,+,94741,94752,Zir
13,chr2L,102336,102396,CG11377_1,900,+,102385,102396,CG11377
14,chr2L,106718,106778,Nhe1_1,900,-,106718,106729,Nhe1
27,chr2L,132030,132090,GLN1_1,900,+,132079,132090,GLN1
32,chr2L,143302,143362,CG11454_1,900,+,143351,143362,CG11454
33,chr2L,153292,153352,CG42399_1,900,-,153292,153303,CG42399
35,chr2L,155264,155324,CG3709_1,900,-,155264,155275,CG3709
37,chr2L,156116,156176,CG3436_1,900,+,156165,156176,CG3436
38,chr2L,158666,158726,CG33635_1,900,-,158666,158677,CG33635
41,chr2L,203750,203810,mRpL10_1,900,+,203799,203810,mRpL10
44,chr2L,207357,207417,Tbc1d15-17_1,900,+,207406,207417,Tbc1d15-17
46,chr2L,232430,232490,CG13693_1,900,+,232479,232490,CG13693
48,chr2L,252360,252420,Rpp30_1,900,-,252360,252371,Rpp30
50,chr2L,267494,267554,CG17075_1,900,-,267494,267505,CG17075
51,chr2L,269068,269128,CG3345_1,900,+,269117,269128,CG3345
53,chr2L,273681,273741,mbm_1,900,-,273681,273692,mbm
54,chr2L,273912,273972,CG11555_1,900,+,273961,273972,CG11555
56,chr2L,277535,277595,smo_1,900,+,277584,277595,smo
62,chr2L,288940,289000,Amnionless_1,900,-,288940,288951,Amnionless
64,chr2L,292416,292476,CG11562_1,900,+,292465,292476,CG11562
65,chr2L,294653,294713,U2af38_1,900,-,294653,294664,U2af38
66,chr2L,295074,295134,Hop_1,900,+,295123,295134,Hop
71,chr2L,319246,319306,CG11912_1,900,-,319246,319257,CG11912
72,chr2L,321234,321294,CG11911_1,900,-,321234,321245,CG11911
73,chr2L,322051,322111,CG33127_1,900,+,322100,322111,CG33127
74,chr2L,329772,329832,CG43755_1,900,-,329772,329783,CG43755
75,chr2L,332257,332317,CG31921_1,900,-,332257,332268,CG31921
76,chr2L,357844,357904,Ent1_1,900,-,357844,357855,Ent1
77,chr2L,378066,378126,al_1,900,+,378115,378126,al
80,chr2L,404257,404317,RpI135_1,900,+,404306,404317,RpI135
81,chr2L,412907,412967,AP-2alpha_1,900,-,412907,412918,AP-2alpha
82,chr2L,415019,415079,ebi_1,900,+,415068,415079,ebi
83,chr2L,419639,419699,CG13690_1,900,-,419639,419650,CG13690
84,chr2L,419906,419966,RpLP1_1,900,+,419955,419966,RpLP1
85,chr2L,421425,421485,CG11885_1,900,-,421425,421436,CG11885
86,chr2L,421812,421872,CG13692_1,900,+,421861,421872,CG13692
87,chr2L,422859,422919,BBS8_1,900,+,422908,422919,BBS8
88,chr2L,431177,431237,ex_1,900,+,431226,431237,ex
92,chr2L,453084,453144,CG4164_1,900,+,453133,453144,CG4164
93,chr2L,455493,455553,CG4133_1,900,+,455542,455553,CG4133
96,chr2L,472973,473033,MED15_1,900,+,473022,473033,MED15
98,chr2L,479670,479730,CG4427_1,900,-,479670,479681,CG4427
102,chr2L,542559,542619,lwr_1,900,-,542559,542570,lwr
103,chr2L,544617,544677,CG11840_1,900,-,544617,544628,CG11840
104,chr2L,545081,545141,nAChRbeta3_1,900,+,545130,545141,nAChRbeta3
108,chr2L,559627,559687,CG2789_1,900,+,559676,559687,CG2789
112,chr2L,564143,564203,CG2794_1,900,+,564192,564203,CG2794
113,chr2L,568074,568134,Nle_1,900,-,568074,568085,Nle
114,chr2L,568297,568357,CG2807_1,900,+,568346,568357,CG2807
115,chr2L,574236,574296,Ipk2_1,900,-,574236,574247,Ipk2
116,chr2L,574480,574540,cold_1,900,+,574529,574540,cold
119,chr2L,577439,577499,Pph13_1,900,+,577488,577499,Pph13
120,chr2L,594676,594736,Gsc_1,900,-,594676,594687,Gsc
121,chr2L,602759,602819,CG13689_1,900,+,602808,602819,CG13689
122,chr2L,621224,621284,lectin-21Cb_1,900,-,621224,621235,lectin-21Cb
123,chr2L,624553,624613,lectin-21Ca_1,900,+,624602,624613,lectin-21Ca
124,chr2L,625592,625652,CG2839_1,900,+,625641,625652,CG2839
125,chr2L,714971,715031,ds_1,900,-,714971,714982,ds
126,chr2L,728360,728420,Hsp60B_1,900,+,728409,728420,Hsp60B
127,chr2L,741780,741840,Eaat2_1,900,-,741780,741791,Eaat2
128,chr2L,744383,744443,CG3159_1,900,-,744383,744394,CG3159
129,chr2L,750556,750616,GABA-B-R3_1,900,+,750605,750616,GABA-B-R3
130,chr2L,773497,773557,CG12506_1,900,+,773546,773557,CG12506
131,chr2L,779123,779183,CG13947_1,900,+,779172,779183,CG13947
134,chr2L,784276,784336,CG3544_1,900,+,784325,784336,CG3544
135,chr2L,790786,790846,Pkg21D_1,900,-,790786,790797,Pkg21D
136,chr2L,810518,810578,Nnf1b_1,900,+,810567,810578,Nnf1b
137,chr2L,811568,811628,Dbp21E2_1,900,+,811617,811628,Dbp21E2
138,chr2L,815929,815989,Saf6_1,900,-,815929,815940,Saf6
139,chr2L,815963,816023,Pex12_1,900,+,816012,816023,Pex12
140,chr2L,817988,818048,CG15880_1,900,-,817988,817999,CG15880
141,chr2L,819481,819541,CG3876_1,900,-,819481,819492,CG3876
142,chr2L,819928,819988,Clp_1,900,+,819977,819988,Clp
145,chr2L,825921,825981,CG3727_1,900,+,825970,825981,CG3727
146,chr2L,842985,843045,drongo_1,900,-,842985,842996,drongo
149,chr2L,852800,852860,KRAK_1,900,+,852849,852860,KRAK
152,chr2L,860245,860305,CG13950_1,900,+,860294,860305,CG13950
155,chr2L,868341,868401,CG4276_1,900,-,868341,868352,CG4276
156,chr2L,869831,869891,dbe_1,900,-,869831,869842,dbe
157,chr2L,870417,870477,CG4124_1,900,+,870466,870477,CG4124
158,chr2L,871047,871107,PNUTS_1,900,+,871096,871107,PNUTS
159,chr2L,877272,877332,ninaA_1,900,+,877321,877332,ninaA
160,chr2L,885105,885165,CG15824_1,900,-,885105,885116,CG15824
161,chr2L,898595,898655,LP1B_1,900,+,898644,898655,LP1B
162,chr2L,901643,901703,U1_1,900,-,901643,901654,U1
163,chr2L,914040,914100,GluRIIC_1,900,+,914089,914100,GluRIIC
164,chr2L,922745,922805,CG4341_1,900,+,922794,922805,CG4341
165,chr2L,1026901,1026961,CG4375_1,900,-,1026901,1026912,CG4375
166,chr2L,1037207,1037267,CG4415_1,900,+,1037256,1037267,CG4415
169,chr2L,1077800,1077860,S_1,900,-,1077800,1077811,S
170,chr2L,1077899,1077959,ast_1,900,+,1077948,1077959,ast
171,chr2L,1080866,1080926,CG4428_1,900,+,1080915,1080926,CG4428
172,chr2L,1102491,1102551,CG4629_1,900,-,1102491,1102502,CG4629
173,chr2L,1108307,1108367,mtRNApol_1,900,-,1108307,1108318,mtRNApol
174,chr2L,1112923,1112983,CG14340_1,900,+,1112972,1112983,CG14340
175,chr2L,1119016,1119076,CG4710_1,900,-,1119016,1119027,CG4710
176,chr2L,1128928,1128988,Pino_1,900,-,1128928,1128939,Pino
177,chr2L,1129270,1129330,CG4552_1,900,+,1129319,1129330,CG4552
178,chr2L,1134108,1134168,Iris_1,900,-,1134108,1134119,Iris
179,chr2L,1134651,1134711,CG4577_1,900,+,1134700,1134711,CG4577
180,chr2L,1143153,1143213,MFS3_1,900,+,1143202,1143213,MFS3
